country_code,country,region,year,population,income_per_capita,life_expectancy,fertility_rate,child_mortality,co2_per_capita,people_in_poverty,traffic_deaths,internet_users,cell_phones_total
svn,Slovenia,Europe & Central Asia,2000,1986816.0,30.3275,75.9,1.25,5.47,9.581,223.0,12.93,15.11026,1215601.0
svn,Slovenia,Europe & Central Asia,2005,1996914.0,38.7035,77.5,1.26,4.2,9.425,2514.0,10.76,46.81,1759232.0
svn,Slovenia,Europe & Central Asia,2010,2044612.0,43.7622,79.3,1.58,3.23,9.64,130.0,6.9,70.0,2121950.0
svn,Slovenia,Europe & Central Asia,2015,2059947.0,42.5522,80.6,1.58,2.59,8.428,40.0,5.14,73.09866,2353926.0
svn,Slovenia,Europe & Central Asia,2020,2102419.0,51.1135,80.4,1.59,2.15,8.851,,4.29,86.6013,2550895.0
slb,Solomon Islands,East Asia & Pacific,2000,440469.0,3.5688,63.2,4.76,30.74,0.373,276384.0,17.18,0.4813,1151.0
slb,Solomon Islands,East Asia & Pacific,2005,483080.0,3.5477,64.0,4.41,29.25,0.343,297496.0,15.47,0.8443,6000.0
slb,Solomon Islands,East Asia & Pacific,2010,532968.0,4.1701,64.4,4.34,26.38,0.354,249124.0,14.73,5.0,115500.0
slb,Solomon Islands,East Asia & Pacific,2015,639415.0,4.321,63.6,4.29,22.74,0.316,269739.0,16.88,10.0005,424712.0
slb,Solomon Islands,East Asia & Pacific,2020,744498.0,4.0784,63.6,3.75,19.84,0.27,337261.0,15.56,24.1984,474000.0
som,Somalia,Sub-Saharan Africa,2000,8838713.0,1.5743,54.4,7.65,172.71,0.054,7628981.0,20.39,0.02,80000.0
som,Somalia,Sub-Saharan Africa,2005,10644228.0,1.8238,55.5,7.53,172.63,0.057,8909865.0,22.04,1.0773,500000.0
som,Somalia,Sub-Saharan Africa,2010,12261756.0,2.1862,52.4,7.32,157.39,0.051,10079463.0,20.16,,648200.0
som,Somalia,Sub-Saharan Africa,2015,13806963.0,2.9522,62.0,6.98,134.3,0.046,9702726.0,18.45,1.76,5836000.0
som,Somalia,Sub-Saharan Africa,2020,16651191.0,3.0678,63.0,6.45,114.39,0.047,11028012.0,16.28,15.0237,8844000.0
zaf,South Africa,Sub-Saharan Africa,2000,47159719.0,6.563,59.0,2.41,71.52,5.836,21938100.0,42.44,5.34856,8339000.0
zaf,South Africa,Sub-Saharan Africa,2005,49490033.0,9.7555,54.4,2.51,78.84,5.843,20612358.0,39.01,7.48854,33959958.0
zaf,South Africa,Sub-Saharan Africa,2010,52344051.0,12.9815,58.2,2.45,51.98,6.203,15371541.0,42.92,24.0,50372000.0
zaf,South Africa,Sub-Saharan Africa,2015,56723537.0,12.1293,63.1,2.36,36.35,5.756,17591935.0,41.94,51.9191,87999492.0
zaf,South Africa,Sub-Saharan Africa,2020,60562381.0,11.0524,64.4,2.26,26.69,5.114,19780004.0,33.22,72.1128,95959439.0
kor,South Korea,East Asia & Pacific,2000,46766661.0,30.2862,76.2,1.47,7.55,10.252,231594.0,23.17,44.7,26816398.0
kor,South Korea,East Asia & Pacific,2005,47851644.0,37.0915,78.7,1.12,5.57,12.058,186416.0,14.91,73.5,38342323.0
kor,South Korea,East Asia & Pacific,2010,48769332.0,40.584,80.7,1.23,4.12,13.257,237152.0,11.48,83.7,50767241.0
kor,South Korea,East Asia & Pacific,2015,50983912.0,49.1022,82.4,1.2,3.52,13.026,126199.0,7.85,89.89626,58935081.0
kor,South Korea,East Asia & Pacific,2020,51858482.0,61.3264,83.5,0.81,3.05,12.651,7325.0,5.78,96.50506,70513676.0
ssd,South Sudan,Sub-Saharan Africa,2000,6032267.0,5.0518,52.8,6.8,181.15,0.074,4062596.0,46.14,,
ssd,South Sudan,Sub-Saharan Africa,2005,7590143.0,4.9824,54.8,6.02,139.73,0.121,4272216.0,43.53,,
ssd,South Sudan,Sub-Saharan Africa,2010,9745953.0,4.3601,56.0,5.32,108.41,0.14,4388804.0,47.56,,1500000.0
ssd,South Sudan,Sub-Saharan Africa,2015,11107561.0,2.5964,56.3,4.7,97.86,0.181,7635436.0,52.03,3.0,2899000.0
ssd,South Sudan,Sub-Saharan Africa,2020,10698467.0,4.3187,55.8,4.16,97.87,0.171,8672211.0,51.68,,
esp,Spain,Europe & Central Asia,2000,41019774.0,41.6692,79.4,1.21,5.53,8.111,333618.0,14.03,13.62496,24265059.0
esp,Spain,Europe & Central Asia,2005,43958885.0,44.712,80.4,1.33,4.73,9.351,152755.0,10.13,47.88,42694115.0
esp,Spain,Europe & Central Asia,2010,46840471.0,51.6658,82.0,1.37,3.78,7.006,225355.0,5.26,65.8,51389417.0
esp,Spain,Europe & Central Asia,2015,46683686.0,47.6552,82.6,1.33,3.21,6.068,326971.0,3.75,78.68963,51067770.0
esp,Spain,Europe & Central Asia,2020,47679489.0,52.6164,82.1,1.19,3.09,5.32,393499.0,3.35,93.20565,55647705.0
lka,Sri Lanka,South Asia,2000,19293054.0,6.3725,71.8,2.21,16.92,0.981,3857672.0,16.74,0.64741,430202.0
lka,Sri Lanka,South Asia,2005,20216524.0,7.5348,74.0,2.26,19.37,1.03,3212219.0,12.72,1.792,3361775.0
lka,Sri Lanka,South Asia,2010,20879089.0,8.2556,74.2,2.13,12.4,1.072,1753774.0,12.33,6.9124,17359312.0
lka,Sri Lanka,South Asia,2015,21729971.0,10.0131,76.6,2.09,8.72,1.631,1053791.0,11.2,15.2625,23899642.0
lka,Sri Lanka,South Asia,2020,22561807.0,10.034,78.2,2.01,6.82,1.684,864755.0,10.6,36.18473,29730465.0
kna,St. Kitts and Nevis,Americas,2000,45248.0,20.2781,71.4,2.13,17.6,3.91,3591.0,12.48,5.86281,1200.0
kna,St. Kitts and Nevis,Americas,2005,46437.0,22.4463,72.6,1.93,7.03,4.226,2990.0,10.79,34.0,51000.0
kna,St. Kitts and Nevis,Americas,2010,46846.0,24.157,73.6,1.76,17.56,4.489,2724.0,9.66,63.0,80000.0
kna,St. Kitts and Nevis,Americas,2015,47087.0,27.7635,74.2,1.64,26.0,4.583,1351.0,10.19,66.1731,73009.0
kna,St. Kitts and Nevis,Americas,2020,46870.0,25.8379,74.1,1.55,15.12,4.273,1474.0,9.16,70.2753,62525.0
lca,St. Lucia,Americas,2000,158616.0,9.0031,73.9,2.21,18.36,2.223,61512.0,17.07,5.09048,2500.0
lca,St. Lucia,Americas,2005,165450.0,16.9773,74.7,1.81,18.44,2.244,61275.0,13.86,21.56758,105656.0
lca,St. Lucia,Americas,2010,170906.0,32.0144,75.6,1.67,19.65,2.317,191.0,12.76,32.5,198212.0
lca,St. Lucia,Americas,2015,174905.0,60.3702,76.7,1.47,21.86,2.293,149.0,13.8,57.2633,187741.0
lca,St. Lucia,Americas,2020,178250.0,48.9462,76.7,1.41,24.17,2.141,347.0,9.74,62.064,145931.0
vct,St. Vincent and the Grenadines,Americas,2000,113545.0,10.0282,71.8,2.31,22.17,1.361,13866.0,9.52,3.24504,2361.0
vct,St. Vincent and the Grenadines,Americas,2005,112450.0,12.3481,72.9,2.07,21.45,2.026,11885.0,8.24,9.19828,70620.0
vct,St. Vincent and the Grenadines,Americas,2010,109959.0,13.1951,73.8,2.14,19.83,2.032,10636.0,7.54,33.7,131791.0
vct,St. Vincent and the Grenadines,Americas,2015,106960.0,14.545,74.2,2.13,16.75,2.016,8954.0,8.58,49.4,113371.0
vct,St. Vincent and the Grenadines,Americas,2020,103526.0,15.7869,74.2,1.83,14.29,1.876,8190.0,5.12,63.381,100362.0
sdn,Sudan,Sub-Saharan Africa,2000,27816745.0,6.1502,60.1,5.6,104.28,0.185,5052489.0,34.64,0.02579,23000.0
sdn,Sudan,Sub-Saharan Africa,2005,31262444.0,7.3859,63.1,5.4,88.1,0.324,4295676.0,30.69,,1827940.0
sdn,Sudan,Sub-Saharan Africa,2010,35414399.0,7.5147,65.6,5.14,75.68,0.417,4650825.0,29.92,,18093231.0
sdn,Sudan,Sub-Saharan Africa,2015,40024431.0,7.2877,67.6,4.9,65.9,0.499,4239389.0,28.26,12.0,27938507.0
sdn,Sudan,Sub-Saharan Africa,2020,46789231.0,5.9597,67.6,4.54,56.59,0.504,7435488.0,29.13,,35195207.0
sur,Suriname,Americas,2000,476643.0,15.691,70.9,3.05,22.7,4.658,13366.0,18.3,2.50641,41048.0
sur,Suriname,Americas,2005,519313.0,18.9167,71.5,2.71,19.83,3.184,11014.0,18.64,6.40309,232785.0
sur,Suriname,Americas,2010,549923.0,22.7151,72.4,2.69,20.92,4.531,8403.0,18.51,31.59,521166.0
sur,Suriname,Americas,2015,581627.0,23.2688,72.8,2.57,20.34,3.055,8637.0,17.86,42.7638,750458.0
sur,Suriname,Americas,2020,612317.0,19.0433,72.2,2.31,17.58,3.107,13035.0,16.38,,899339.0
swe,Sweden,Europe & Central Asia,2000,8872101.0,45.1083,79.8,1.54,4.1,9.611,2412.0,5.88,45.68765,6372300.0
swe,Sweden,Europe & Central Asia,2005,9029771.0,45.5122,80.6,1.77,3.6,10.051,46788.0,4.75,84.83,9104000.0
swe,Sweden,Europe & Central Asia,2010,9378232.0,53.9565,81.6,1.97,3.06,9.149,32080.0,3.05,90.0,10992407.0
swe,Sweden,Europe & Central Asia,2015,9799481.0,60.6363,82.3,1.85,2.86,7.235,64171.0,2.51,90.6102,12638827.0
swe,Sweden,Europe & Central Asia,2020,10353686.0,64.6739,82.4,1.67,2.96,5.904,45894.0,1.95,94.53943,12791840.0
che,Switzerland,Europe & Central Asia,2000,7184007.0,75.7629,80.1,1.49,5.64,12.314,2137.0,7.15,47.1,4638519.0
che,Switzerland,Europe & Central Asia,2005,7431823.0,77.4438,81.4,1.42,5.06,14.571,6794.0,4.96,70.1,6834233.0
che,Switzerland,Europe & Central Asia,2010,7825753.0,81.8951,82.4,1.52,4.56,12.901,5686.0,3.53,83.9,9644157.0
che,Switzerland,Europe & Central Asia,2015,8283934.0,85.342,83.2,1.54,4.28,17.325,1629.0,2.51,87.47906,11243210.0
che,Switzerland,Europe & Central Asia,2020,8640582.0,88.4123,83.1,1.47,4.55,12.289,4548.0,2.02,94.35,11006060.0
syr,Syria,Middle East & North Africa,2000,16637888.0,13.6255,71.3,4.07,23.03,3.079,215525.0,15.6,0.1817,30000.0
syr,Syria,Middle East & North Africa,2005,18814091.0,15.4366,73.0,3.61,19.68,2.719,143657.0,14.65,5.6481,2950000.0
syr,Syria,Middle East & North Africa,2010,22482421.0,14.2961,74.5,3.36,18.87,2.845,94220.0,12.56,20.7,11696000.0
syr,Syria,Middle East & North Africa,2015,19424618.0,9.4859,67.0,3.07,41.57,1.595,3397916.0,8.6,29.9798,14312271.0
syr,Syria,Middle East & North Africa,2020,21049429.0,6.2942,74.4,2.84,22.44,1.697,3618736.0,8.28,,16660253.0
tjk,Tajikistan,Europe & Central Asia,2000,6284735.0,2.5035,68.1,3.49,83.57,0.857,4694744.0,9.01,0.0486,1160.0
tjk,Tajikistan,Europe & Central Asia,2005,6924720.0,4.631,69.6,3.4,55.63,0.932,2277712.0,6.92,0.29869,265000.0
tjk,Tajikistan,Europe & Central Asia,2010,7652141.0,6.0956,71.7,3.46,42.71,1.041,1332894.0,5.96,11.55,5940842.0
tjk,Tajikistan,Europe & Central Asia,2015,8643840.0,6.9526,72.7,3.46,37.49,1.044,1205599.0,6.06,18.98,8489000.0
tjk,Tajikistan,Europe & Central Asia,2020,9749310.0,8.5146,71.9,3.21,32.22,1.347,986845.0,5.04,27.5441,6072126.0
tza,Tanzania,Sub-Saharan Africa,2000,34260139.0,1.8071,54.3,5.67,129.73,0.143,29350460.0,28.9,0.11719,110518.0
tza,Tanzania,Sub-Saharan Africa,2005,39182076.0,2.8234,57.9,5.58,93.9,0.221,26553499.0,29.08,1.1,2964000.0
tza,Tanzania,Sub-Saharan Africa,2010,44758488.0,3.7998,62.4,5.23,71.93,0.246,24730896.0,33.22,2.9,20983853.0
tza,Tanzania,Sub-Saharan Africa,2015,52020962.0,4.0822,66.0,5.03,58.11,0.38,26320876.0,38.81,10.0,39665600.0
tza,Tanzania,Sub-Saharan Africa,2020,60972798.0,4.2523,67.2,4.8,48.72,0.285,30641972.0,37.89,19.4814,51220233.0
tha,Thailand,East Asia & Pacific,2000,63007815.0,9.9285,71.0,1.73,21.95,2.432,6077804.0,44.82,3.68904,3056000.0
tha,Thailand,East Asia & Pacific,2005,66017420.0,13.4114,72.5,1.64,17.17,3.284,2290122.0,40.08,15.026,30460238.0
tha,Thailand,East Asia & Pacific,2010,68579447.0,15.9566,75.1,1.56,13.58,3.793,646926.0,30.94,22.4,71726300.0
tha,Thailand,East Asia & Pacific,2015,70540795.0,18.5337,76.6,1.45,10.8,3.691,145456.0,27.35,39.31613,102942000.0
tha,Thailand,East Asia & Pacific,2020,71641484.0,18.9941,77.8,1.26,8.65,3.822,90332.0,25.74,77.84374,116294000.0
tls,Timor-Leste,East Asia & Pacific,2000,745088.0,3.3,63.6,5.93,107.74,0.166,438576.0,18.02,,
tls,Timor-Leste,East Asia & Pacific,2005,948311.0,3.2274,66.6,5.61,80.91,0.177,567972.0,14.98,0.09903,33072.0
tls,Timor-Leste,East Asia & Pacific,2010,1084679.0,3.3726,68.5,4.82,61.47,0.215,525244.0,15.67,3.0,473020.0
tls,Timor-Leste,East Asia & Pacific,2015,1205131.0,3.8063,68.9,3.78,50.23,0.42,510556.0,19.04,18.6,1376669.0
tls,Timor-Leste,East Asia & Pacific,2020,1326053.0,5.6184,69.3,3.01,42.38,0.422,270472.0,20.68,32.0127,1377915.0
tgo,Togo,Sub-Saharan Africa,2000,5140037.0,3.2001,55.8,5.17,119.93,0.192,3310669.0,32.93,0.8,50000.0
tgo,Togo,Sub-Saharan Africa,2005,5844631.0,3.0454,57.5,5.04,103.14,0.197,3886316.0,35.87,1.8,433635.0
tgo,Togo,Sub-Saharan Africa,2010,6732590.0,3.173,59.5,5.09,88.97,0.269,4418083.0,39.56,3.0,2602283.0
tgo,Togo,Sub-Saharan Africa,2015,7663195.0,3.2839,61.9,4.66,75.85,0.284,4585958.0,37.45,7.12,4855206.0
tgo,Togo,Sub-Saharan Africa,2020,8669720.0,5.1741,63.4,4.39,64.4,0.831,3097463.0,40.99,29.0237,6516510.0
ton,Tonga,East Asia & Pacific,2000,102677.0,12.5344,71.2,4.16,16.91,0.973,5208.0,14.72,2.4344,180.0
ton,Tonga,East Asia & Pacific,2005,105671.0,12.0671,71.6,4.2,14.72,1.127,4499.0,12.5,4.9078,29872.0
ton,Tonga,East Asia & Pacific,2010,107400.0,11.2724,71.7,3.88,13.17,1.129,4742.0,11.95,16.0,54300.0
ton,Tonga,East Asia & Pacific,2015,106095.0,9.3349,71.9,3.54,12.41,1.201,5232.0,10.92,38.6513,73493.0
ton,Tonga,East Asia & Pacific,2020,105704.0,11.985,71.6,3.23,11.42,1.3,961.0,10.28,54.4737,62000.0
tto,Trinidad and Tobago,Americas,2000,1319774.0,22.1979,69.6,1.73,23.94,7.576,4079.0,16.65,7.72141,161860.0
tto,Trinidad and Tobago,Americas,2005,1352034.0,32.578,71.3,1.63,15.44,10.942,,15.57,28.9767,924100.0
tto,Trinidad and Tobago,Americas,2010,1386654.0,38.2547,73.1,1.61,14.71,17.53,,14.23,48.5,1894240.0
tto,Trinidad and Tobago,Americas,2015,1429188.0,42.344,73.8,1.6,19.32,15.598,,12.04,65.1,2123374.0
tto,Trinidad and Tobago,Americas,2020,1481024.0,33.3989,72.8,1.57,16.56,17.158,,11.98,77.2813,1987996.0
tun,Tunisia,Middle East & North Africa,2000,9764935.0,9.8515,71.5,2.03,29.92,1.428,1044065.0,26.47,2.75074,119165.0
tun,Tunisia,Middle East & North Africa,2005,10255472.0,10.8504,72.7,1.95,22.03,1.459,676680.0,25.23,9.6551,5680726.0
tun,Tunisia,Middle East & North Africa,2010,10765980.0,13.9689,73.8,2.08,18.4,1.805,374306.0,23.24,36.8,11114206.0
tun,Tunisia,Middle East & North Africa,2015,11402264.0,14.9758,74.9,2.31,17.17,1.952,115386.0,20.22,46.49999,14595875.0
tun,Tunisia,Middle East & North Africa,2020,11974057.0,15.7347,72.7,2.0,16.63,2.072,102914.0,16.56,68.5564,14852857.0
tur,Turkey,Europe & Central Asia,2000,65425961.0,10.9609,72.2,2.49,37.93,3.912,5116301.0,15.31,3.76169,16133405.0
tur,Turkey,Europe & Central Asia,2005,69329557.0,13.8848,74.6,2.2,26.15,4.384,4782941.0,12.73,15.46,43608965.0
tur,Turkey,Europe & Central Asia,2010,73346769.0,16.3785,77.3,2.08,18.11,4.784,2197436.0,9.37,39.82,61769635.0
tur,Turkey,Europe & Central Asia,2015,80014226.0,20.2621,76.4,2.16,12.95,5.153,1210562.0,10.23,53.74498,73639261.0
tur,Turkey,Europe & Central Asia,2020,86091692.0,24.7676,76.2,1.77,9.5,4.753,1202937.0,9.52,77.66956,82128104.0
tkm,Turkmenistan,Europe & Central Asia,2000,4582677.0,6.4405,66.5,2.9,69.71,8.303,1301493.0,8.4,0.13328,7500.0
tkm,Turkmenistan,Europe & Central Asia,2005,5052257.0,7.7671,67.1,2.71,52.29,10.152,1163734.0,11.65,0.9973,105000.0
tkm,Turkmenistan,Europe & Central Asia,2010,5564356.0,11.0027,69.4,2.85,43.12,11.235,699278.0,7.97,3.0,3197624.0
tkm,Turkmenistan,Europe & Central Asia,2015,6215770.0,16.2481,69.5,3.03,42.19,12.63,388611.0,6.12,14.9968,7842000.0
tkm,Turkmenistan,Europe & Central Asia,2020,6949912.0,19.6493,69.1,2.79,41.8,12.876,292126.0,5.99,,6164777.0
tuv,Tuvalu,East Asia & Pacific,2000,9544.0,9.9484,58.4,3.84,42.11,0.781,743.0,55.3,5.24164,
tuv,Tuvalu,East Asia & Pacific,2005,9940.0,9.2697,62.4,3.55,37.75,1.1,967.0,55.69,8.3,1300.0
tuv,Tuvalu,East Asia & Pacific,2010,10614.0,9.2506,62.9,3.44,31.31,0.697,1035.0,52.11,14.6,1600.0
tuv,Tuvalu,East Asia & Pacific,2015,10963.0,10.7881,63.2,3.31,25.97,0.991,763.0,38.06,27.3,6600.0
tuv,Tuvalu,East Asia & Pacific,2020,10399.0,13.5999,63.1,3.31,21.96,1.0,379.0,32.01,,9000.0
are,UAE,Middle East & North Africa,2000,3493575.0,94.172,72.7,2.73,11.15,28.286,,37.63,23.6253,1428115.0
are,UAE,Middle East & North Africa,2005,4664790.0,96.0616,74.6,2.23,9.83,33.39,,29.4,40.0,4534143.0
are,UAE,Middle East & North Africa,2010,6938363.0,73.5858,76.5,1.57,8.66,23.856,,27.78,68.0,10926019.0
are,UAE,Middle East & North Africa,2015,8674633.0,77.2049,78.5,1.42,7.6,26.975,,13.27,90.5,17942560.0
are,UAE,Middle East & North Africa,2020,9448524.0,77.5611,79.5,1.29,6.58,19.74,,7.69,100.0,18374332.0
gbr,UK,Europe & Central Asia,2000,59057338.0,57.545,77.9,1.64,6.55,12.617,88183.0,6.39,26.82175,43452000.0
gbr,UK,Europe & Central Asia,2005,60596108.0,60.7825,79.2,1.76,6.03,12.377,128075.0,5.65,70.0,65471665.0
gbr,UK,Europe & Central Asia,2010,63006483.0,60.7209,80.4,1.92,5.17,10.779,138069.0,3.57,85.0,76729827.0
gbr,UK,Europe & Central Asia,2015,65382110.0,62.2071,81.1,1.8,4.47,9.012,131568.0,2.59,92.0003,79250793.0
gbr,UK,Europe & Central Asia,2020,67351861.0,64.0006,80.4,1.57,4.19,6.891,263054.0,1.91,94.8182,79007000.0
usa,USA,Americas,2000,281484131.0,75.5239,76.8,2.03,8.45,21.993,1172223.0,15.81,43.07916,109478031.0
usa,USA,Americas,2005,295716664.0,77.6196,77.6,2.04,7.96,22.545,1911904.0,15.34,67.9681,203700000.0
usa,USA,Americas,2010,311062790.0,75.4596,78.7,1.92,7.34,19.084,1664736.0,11.28,71.69,285118000.0
usa,USA,Americas,2015,326126497.0,79.629,78.8,1.83,6.79,17.755,2020114.0,11.39,74.5542,332101000.0
usa,USA,Americas,2020,339436159.0,96.5305,77.1,1.62,6.36,15.387,1028073.0,12.6,90.3447,352522000.0
uga,Uganda,Sub-Saharan Africa,2000,24000150.0,2.408,48.5,6.79,146.11,0.113,19110240.0,41.57,0.16371,126913.0
uga,Uganda,Sub-Saharan Africa,2005,27963289.0,2.8535,55.2,6.53,107.06,0.126,20256672.0,43.12,1.7422,1315300.0
uga,Uganda,Sub-Saharan Africa,2010,32390802.0,3.6295,59.3,6.02,76.29,0.182,19904540.0,50.2,4.3,12828264.0
uga,Uganda,Sub-Saharan Africa,2015,37531446.0,3.6974,62.7,5.25,55.7,0.179,21549629.0,58.79,5.7,20220273.0
uga,Uganda,Sub-Saharan Africa,2020,44457152.0,3.6333,64.6,4.62,43.73,0.167,26403396.0,58.74,7.4,27688987.0
ukr,Ukraine,Europe & Central Asia,2000,49556660.0,5.6096,68.1,1.11,15.4,4.499,5300089.0,16.75,0.71618,818524.0
ukr,Ukraine,Europe & Central Asia,2005,47585556.0,11.0247,67.7,1.22,12.8,5.298,662832.0,18.94,3.7498,30013500.0
ukr,Ukraine,Europe & Central Asia,2010,46456003.0,12.8369,70.4,1.44,11.73,5.403,61112.0,11.26,23.3,53928830.0
ukr,Ukraine,Europe & Central Asia,2015,45784896.0,12.7266,72.8,1.39,9.48,4.132,131702.0,9.52,48.88464,60720073.0
ukr,Ukraine,Europe & Central Asia,2020,44680014.0,15.5705,72.3,1.21,7.03,4.309,22942.0,8.98,75.03791,53977690.0
ury,Uruguay,Americas,2000,3266206.0,21.9769,74.7,2.2,16.99,2.402,55068.0,14.42,10.53906,410787.0
ury,Uruguay,Americas,2005,3285771.0,22.1211,75.6,2.1,14.36,2.275,54935.0,13.81,20.08819,1154923.0
ury,Uruguay,Americas,2010,3318580.0,29.7067,76.4,2.01,10.71,2.929,14688.0,15.54,46.4,4437158.0
ury,Uruguay,Americas,2015,3368017.0,35.5786,77.0,2.04,8.87,3.145,9474.0,14.75,64.57079,5165474.0
ury,Uruguay,Americas,2020,3398968.0,32.4287,77.9,1.5,5.36,2.937,11124.0,11.2,85.471,4551276.0
uzb,Uzbekistan,Europe & Central Asia,2000,24787054.0,1.4009,68.3,2.7,60.66,4.907,23078009.0,13.19,0.48435,53128.0
uzb,Uzbekistan,Europe & Central Asia,2005,26356975.0,1.7837,69.0,2.44,43.4,4.426,24069749.0,14.88,3.34351,720000.0
uzb,Uzbekistan,Europe & Central Asia,2010,28385506.0,3.196,70.1,2.44,28.72,3.635,24287530.0,13.54,15.9,20952000.0
uzb,Uzbekistan,Europe & Central Asia,2015,30749346.0,5.7264,71.1,2.58,19.34,3.305,2232825.0,12.85,42.8,21783300.0
uzb,Uzbekistan,Europe & Central Asia,2020,33586372.0,10.2603,71.2,3.06,13.95,2.65,1789088.0,11.08,71.1,33387000.0
vut,Vanuatu,East Asia & Pacific,2000,186281.0,5.9255,67.8,4.54,28.5,0.456,47231.0,12.6,2.10834,365.0
vut,Vanuatu,East Asia & Pacific,2005,210760.0,5.4304,69.0,4.13,28.23,0.28,59730.0,11.16,5.0823,12692.0
vut,Vanuatu,East Asia & Pacific,2010,238248.0,5.8549,69.4,4.13,29.13,0.512,61552.0,11.3,8.0,169935.0
vut,Vanuatu,East Asia & Pacific,2015,266101.0,5.9375,69.4,3.95,28.22,0.487,60777.0,11.24,22.3514,174818.0
vut,Vanuatu,East Asia & Pacific,2020,298858.0,5.5734,69.8,3.74,25.17,0.524,64850.0,11.22,,246232.0
ven,Venezuela,Americas,2000,24526708.0,10.5807,73.6,2.79,21.57,3.123,3747446.0,24.86,3.3596,5447172.0
ven,Venezuela,Americas,2005,26785804.0,10.6347,74.3,2.63,18.47,3.838,4114981.0,24.09,12.553,12495721.0
ven,Venezuela,Americas,2010,28813101.0,13.9905,74.6,2.4,17.06,4.542,2189464.0,23.01,37.37,27880132.0
ven,Venezuela,Americas,2015,30573972.0,14.2218,73.8,2.25,19.13,2.888,1351996.0,19.06,58.0,29093517.0
ven,Venezuela,Americas,2020,28444077.0,4.8013,71.8,2.12,24.19,0.631,1313018.0,18.26,72.4411,16543805.0
vnm,Vietnam,East Asia & Pacific,2000,77154011.0,4.5226,72.7,2.03,29.8,0.467,31370840.0,33.5,0.25425,788559.0
vnm,Vietnam,East Asia & Pacific,2005,81088313.0,5.5624,73.5,1.89,24.95,0.878,21689198.0,33.24,12.73993,9593200.0
vnm,Vietnam,East Asia & Pacific,2010,87455152.0,11.1931,74.2,1.91,22.92,1.154,5002538.0,31.9,30.65,111570201.0
vnm,Vietnam,East Asia & Pacific,2015,92823254.0,13.0945,75.1,2.1,21.81,1.607,2883205.0,26.68,45.0,120324052.0
vnm,Vietnam,East Asia & Pacific,2020,98079191.0,17.5046,75.9,1.96,20.95,2.096,1519108.0,23.98,70.3,138934626.0
yem,Yemen,Middle East & North Africa,2000,19624141.0,6.5681,65.0,6.32,94.97,0.832,3416938.0,26.94,0.0825,32042.0
yem,Yemen,Middle East & North Africa,2005,22790085.0,5.7544,67.3,5.56,72.97,0.985,4829525.0,27.35,1.0486,2277559.0
yem,Yemen,Middle East & North Africa,2010,26754387.0,5.2997,69.2,4.81,58.79,1.001,6093750.0,26.28,12.35,11085000.0
yem,Yemen,Middle East & North Africa,2015,31159379.0,3.498,69.6,4.62,60.68,0.48,15657915.0,24.88,24.0854,15021953.0
yem,Yemen,Middle East & North Africa,2020,36134863.0,2.6444,67.9,4.6,59.66,0.362,23742559.0,24.03,,15178000.0
zmb,Zambia,Sub-Saharan Africa,2000,10017631.0,3.5385,43.1,5.92,155.86,0.392,6026726.0,44.02,0.19107,98853.0
zmb,Zambia,Sub-Saharan Africa,2005,11718819.0,3.1584,48.5,5.7,106.21,0.36,8014067.0,38.9,1.3,949559.0
zmb,Zambia,Sub-Saharan Africa,2010,13965594.0,3.0305,55.4,5.36,79.01,0.392,9793774.0,40.88,3.0,5446991.0
zmb,Zambia,Sub-Saharan Africa,2015,16399089.0,3.3653,58.6,4.78,67.68,0.519,10979345.0,42.54,8.8,11557725.0
zmb,Zambia,Sub-Saharan Africa,2020,19059395.0,2.9947,59.2,4.32,61.11,0.388,13509715.0,43.36,14.6458,19104208.0
zwe,Zimbabwe,Sub-Saharan Africa,2000,11892055.0,7.6398,46.7,4.01,95.51,1.03,2887982.0,35.83,0.40143,266441.0
zwe,Zimbabwe,Sub-Saharan Africa,2005,12483432.0,5.0885,47.7,3.69,93.1,0.907,4820014.0,31.91,2.4,647110.0
zwe,Zimbabwe,Sub-Saharan Africa,2010,13356548.0,5.0366,56.7,4.04,86.43,0.733,5239949.0,28.39,6.4,7700000.0
zwe,Zimbabwe,Sub-Saharan Africa,2015,14399013.0,5.251,62.1,3.91,61.28,0.955,5738621.0,25.93,22.7428,12757410.0
zwe,Zimbabwe,Sub-Saharan Africa,2020,15526888.0,4.6842,63.5,3.75,53.35,0.737,8218645.0,22.12,29.29857,13191708.0
